rd,km,lat,lon
1,431,16.3208029461,99.6519408294
1,432,16.3243955909,99.6435722897
1,433,16.3279850026,99.6352021633
1,434,16.3315775332,99.6268334239
1,435,16.3352697828,99.6185081972
1,436,16.3387928393,99.6101181315
1,437,16.3415942555,99.6014740849
1,438,16.3467120368,99.5939454826
1,439,16.3507405301,99.585791095
1,439,16.3507405301,99.585791095
1,440,16.3548219357,99.577681769
1,440,16.3548219357,99.577681769
1,441,16.3590170471,99.5696299103
1,442,16.3634260445,99.5616934415
1,443,16.367817113399997,99.5537467348
1,444,16.3724717252,99.5459528804
1,445,16.3772280519,99.5382191687
1,446,16.3819637458,99.5304727438
1,447,16.386921924,99.5228932195
1,448,16.3956661226,99.5214786763
1,449,16.4047453335,99.5214370747
1,450,16.4138243766,99.5214104174
1,451,16.422898270999998,99.5214594943
1,452,16.4302492635,99.5163013165
1,453,16.4371983523,99.5104581255
1,454,16.4441381331,99.5046045203
1,455,16.4511104809,99.4987893633
1,456,16.459043004,99.4954105294
1,457,16.468098748800003,99.4960531873
1,458,16.477163243,99.4965631712
1,459,16.4835210146,99.4905201668
1,460,16.489933468,99.4837848973
1,461,16.498387118900002,99.4824688074
1,462,16.507435608199998,99.4833860983
1,463,16.5162499752,99.4803897243
1,464,16.525067529,99.4774025701
1,465,16.5330808768,99.473001276
1,466,16.5397263036,99.4664819095
1,467,16.54639806,99.4599875341
1,468,16.5530720464,99.4534954171
1,468,16.5530720464,99.4534954171
1,469,16.5602889427,99.4477590382
1,470,16.5689098747,99.4442421238
1,471,16.577527216900002,99.4407163223
1,472,16.5857051223,99.436487335
1,473,16.5895905631,99.4280488431
1,474,16.593229626,99.4194798922
1,475,16.596858846099998,99.4109065941
1,476,16.6005024747,99.4023392897
1,477,16.604125258699998,99.3937628118
1,478,16.607772785599998,99.3851967365
1,479,16.6114233783,99.3766324224
1,480,16.6152171158,99.3681416891
1,481,16.620811953,99.3607011862
1,482,16.626433183299998,99.3532798499
1,483,16.632049248599998,99.3458548021
1,484,16.637674348399997,99.3384363109
1,485,16.6433557165,99.3310645768
1,486,16.649883675,99.3244265346
1,487,16.656416828599998,99.3177935513
1,488,16.6629449852,99.311155916
1,489,16.6694710857,99.3045162172
1,490,16.6730744969,99.2965471342
1,491,16.6715401501,99.2873643339
1,492,16.6720630512,99.2781900318
1,492,16.6720630512,99.2781900318
1,493,16.6734388571,99.2691034399
1,494,16.6807153423,99.2635548845
1,495,16.688049266300002,99.2580337969
1,496,16.6950940074,99.2521415851
1,497,16.7021359455,99.246248603
1,498,16.7091894644,99.2403670031
1,499,16.716229938399998,99.2344697191
1,500,16.7232160457,99.2285084389
1,501,16.7301663446,99.2225049981
1,502,16.7371180817,99.2165036696
1,503,16.7440279738,99.2104538594
1,504,16.7509313621,99.2043966848
1,505,16.7578177275,99.1983209956
1,506,16.7646732186,99.1922104284
1,507,16.771167712,99.1857277415
1,508,16.7774362429,99.179015837
1,509,16.7837148718,99.1723135072
1,510,16.7898696779,99.1655036367
1,511,16.7952790828,99.1580833091
1,512,16.7998619434,99.1501260747
1,513,16.8064452875,99.1437451833
1,514,16.8131867336,99.1375083485
1,515,16.819934138,99.131278698
1,516,16.8266490821,99.1250237207
1,517,16.8333686093,99.1187642639
1,518,16.841155466900002,99.1139830189
1,518,16.841155466900002,99.1139830189
1,519,16.849661699600002,99.1123134052
1,520,16.854366278900002,99.1200658419
1,521,16.858399324,99.1283161338
1,522,16.8624942014,99.1365340661
1,523,16.8695757331,99.1345218594
1,524,16.8773414534,99.1296200205
1,525,16.8857324337,99.1273091065
1,525,16.8857324337,99.1273091065
1,525,16.8857324337,99.1273091065
1,525,16.8857324337,99.1273091065
1,526,16.894583807100002,99.1288906912
1,526,16.894583807100002,99.1288906912
1,526,16.894583807100002,99.1288906912
1,527,16.9029436617,99.125449538
1,527,16.9029436617,99.125449538
1,527,16.9029436617,99.125449538
1,528,16.9104827698,99.1202892493
1,529,16.9185303828,99.115997219
1,530,16.92723669,99.1181327687
1,531,16.9357378339,99.1214835734
1,532,16.9442400031,99.1248320603
1,533,16.9527396574,99.1281860756
1,534,16.9612707382,99.1314058291
1,535,16.970327862,99.1307662744
1,536,16.9774429077,99.1262914998
1,537,16.9840297997,99.120429204
1,538,16.9919518823,99.1159479481
1,539,17.0000402834,99.1118133922
1,540,17.008450191199998,99.108340011
1,541,17.0157390265,99.1028911018
1,542,17.0229531728,99.0973383419
1,543,17.0301964016,99.0918247107
1,544,17.0373821083,99.0862388978
1,545,17.0446081145,99.080701482
1,546,17.0521876826,99.0757014022
